Sr.No,Movie_Title,Year,Region,Release_Type,IMDB,Letterboxd,RT_Critic,RT_Audience,Success_Metric,
1,Avengers : Endgame,2019,Hollywood,Theatrical,8.4,3.9,94,94,"21,500",NULL
2,Spider-man : No Way Home,2021,Hollywood,Theatrical,8.1,3.8,93,93,"15,900",NULL
3,Top Gun : Maverick,2022,Hollywood,Theatrical,8.2,4,96,96,6100,NULL
4,Avatar : The Way Of Water ,2022,Hollywood,Theatrical,7.5,3.6,76,76,16900,NULL
5,Barbie,2023,Hollywood,Theatrical,6.8,3.7,88,88,12000,NULL
6,Oppenheimer,2023,Hollywood,Theatrical,8.2,4.2,93,93,8000,NULL
7,Dune : Part Two,2024,Hollywood,Theatrical,8.4,4.4,92,92,3500,NULL
8,Inside Out Two,2024,Hollywood,Theatrical,7.5,3.6,91,91,"14,000",NULL
9,Deadpool And Wolverine,2024,Hollywood,Theatrical,7.5,3.4,78,78,5800,NULL
10,Joker,2019,Hollywood,Theatrical,8.3,3.8,68,68,5500,NULL
11,The Batman,2022,Hollywood,Theatrical,7.8,4,85,85,5800,NULL
12,Guardians Of The Galaxy Vol. 3,2023,Hollywood,Theatrical,7.9,4,82,82,3800,NULL
13,Super Mario Bros. Movie,2023,Hollywood,Theatrical,7,3.4,59,59,3132,NULL
14,Black Panther : Wakanda Forever,2022,Hollywood,Theatrical,6.6,3.2,84,84,6546,NULL
15,No Time To Die,2021,Hollywood,Theatrical,7.3,3.7,83,83,4500,NULL
16,Everything Everywhere All At Once,2022,Hollywood,Theatrical,7.7,4.3,93,93,525,NULL
17,Gladiator II,2024,Hollywood,Theatrical,6.5,3.2,70,70,2400,NULL
18,Wicked,2024,Hollywood,Theatrical,7.3,3.8,88,88,1400,NULL
19,Superman,2025,Hollywood,Theatrical,7.1,3.8,83,83,3600,NULL
20,Avatar : Fire And Ash,2025,Hollywood,Theatrical,7.4,3.6,66,66,8500,NULL
21,Pathan,2023,Bollywood,Theatrical,5.8,3,82,78,1050,NULL
22,Jawan,2023,Bollywood,Theatrical,7.8,3.3,89,85,1160,NULL
23,Gadar 2,2023,Bollywood,Theatrical,5.1,3,17,79,626,NULL
24,Brahmastra Part 1,2022,Bollywood,Theatrical,5.6,2.6,47,68,315.5,NULL
25,Drishyam 2,2022,Bollywood,Theatrical,8.5,7,88,94,240.54,NULL
26,Kalki 2898 AD,2024,Tollywood,Theatrical,7.7,3.6,76,87,1150,NULL
27,Animal,2023,Bollywood,Theatrical,6.2,2.8,33,79,918,NULL
28,Stree 2,2024,Bollywood,Theatrical,7.3,3.2,80,90,874,NULL
29,Sanju,2018,Bollywood,Theatrical,7.6,3.3,40,74,587,NULL
30,Padmaavat,2018,Bollywood,Theatrical,7,3.4,53,65,585,NULL
31,War,2019,Bollywood,Theatrical,6.5,2.9,71,81,475,NULL
32,Dunki,2023,Bollywood,Theatrical,6.7,3.1,53,77,470,NULL
33,Tiger 3,2023,Bollywood,Theatrical,6.7,2.6,56,81,466,NULL
34,Bhool Bhulaiyaa 3,2024,Bollywood,Theatrical,6.6,2.5,33,68,421,NULL
35,Singham Again,2024,Bollywood,Theatrical,4.2,2,11,55,407,NULL
36,Simmba,2018,Bollywood,Theatrical,5.8,2.4,20,52,400,NULL
37,Tanhaji,2020,Bollywood,Theatrical,7.5,3.2,73,87,367,NULL
38,Uri: The Surgical Strike,2019,Bollywood,Theatrical,8.2,3.5,57,93,360,NULL
39,Rocky Aur Rani Kii Prem Kahaani,2023,Bollywood,Theatrical,6.5,3.4,86,73,355,NULL
40,Fighter,2024,Bollywood,Theatrical,6.2,3,33,88,350,NULL
41,Parasite,2019,Hollywood,Theatrical,8.5,4.6,99,90,"2,336",NULL
42,Portrait of a Lady on Fire,2019,Hollywood,Theatrical,8.1,4.4,97,92,141,NULL
